Id,Predicted
0,6
1,6
10,0
100,0
101,6
102,0
103,6
104,0
105,0
106,6
107,0
108,0
109,6
11,0
110,6
111,6
112,0
113,0
114,6
115,0
116,0
117,6
118,0
119,6
12,0
120,0
121,0
122,6
123,0
124,0
125,0
126,6
127,0
128,6
129,0
13,0
130,0
131,6
132,0
133,0
134,0
135,6
136,0
137,0
138,6
139,0
14,0
140,0
141,0
142,6
143,0
144,6
145,6
146,0
147,0
148,6
149,0
15,6
150,0
151,0
152,0
153,0
154,0
155,0
156,6
157,0
158,0
159,0
16,0
160,0
161,6
162,0
163,6
164,0
165,6
166,0
167,0
168,0
169,0
17,6
170,0
171,0
172,0
173,6
174,0
175,0
176,6
177,0
178,6
179,0
18,0
180,0
181,0
182,0
183,0
184,0
185,0
186,6
187,6
188,0
189,6
19,6
190,0
191,6
192,0
193,0
194,6
195,0
196,0
197,0
198,0
199,6
2,0
20,0
200,0
201,6
202,6
203,0
204,6
205,0
206,6
207,6
208,0
209,6
21,0
210,0
211,6
212,0
213,0
214,0
215,0
216,0
217,0
218,6
219,0
22,0
220,6
221,0
222,6
223,6
224,0
225,6
226,0
227,6
228,0
229,0
23,6
230,0
231,0
232,0
233,0
234,0
235,6
236,6
237,0
238,6
239,0
24,0
240,6
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,6
25,0
250,0
251,0
252,0
253,6
254,0
255,6
256,0
257,0
258,6
259,6
26,0
260,6
261,6
262,6
263,0
264,0
265,0
266,6
267,6
268,0
269,0
27,0
270,0
271,0
272,0
273,0
274,0
275,6
276,0
277,6
278,0
279,6
28,0
280,0
281,0
282,6
283,6
284,0
285,0
286,0
287,0
288,0
289,6
29,0
290,6
291,6
292,6
293,0
294,6
295,0
296,0
297,0
298,0
299,0
3,6
30,0
300,0
301,0
302,0
303,0
304,6
305,0
306,6
307,6
308,6
309,6
31,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,6
32,0
320,6
321,0
322,0
323,0
324,6
325,6
326,0
327,0
328,0
329,6
33,6
330,0
331,0
332,0
333,6
334,0
335,0
336,0
337,0
338,6
339,0
34,6
340,0
341,0
342,0
343,6
344,6
345,0
346,0
347,0
348,6
349,0
35,0
350,0
351,0
352,6
353,6
354,0
355,6
356,0
357,6
358,0
359,0
36,0
360,6
361,0
362,0
363,0
364,0
365,0
366,0
367,0
368,0
369,0
37,0
370,6
371,0
372,0
373,0
374,0
375,6
376,0
377,6
378,0
379,6
38,0
380,6
381,0
382,6
383,0
384,0
385,0
386,0
387,6
388,6
389,0
39,0
390,0
391,6
392,6
393,0
394,0
395,0
396,0
397,6
398,6
399,0
4,0
40,0
400,6
401,6
402,0
403,0
404,0
405,0
406,6
407,6
408,0
409,0
41,6
410,0
411,6
412,0
413,0
414,0
415,0
416,6
417,6
418,0
419,0
42,0
420,6
421,0
422,0
423,0
424,6
425,0
426,0
427,6
428,0
429,6
43,0
430,6
431,0
432,6
433,0
434,0
435,6
436,6
437,0
438,0
439,0
44,6
440,0
441,0
442,0
443,6
444,0
445,6
446,0
447,0
448,6
449,0
45,6
450,0
451,0
452,0
453,0
454,6
455,0
456,0
457,6
458,6
459,0
46,0
460,0
461,6
462,0
463,0
464,0
465,6
466,0
467,6
468,0
469,0
47,0
470,6
471,0
472,0
473,0
474,0
475,0
476,0
477,6
478,6
479,6
48,0
480,6
481,0
482,6
483,0
484,6
485,0
486,0
487,0
488,0
489,6
49,0
490,0
491,0
492,6
493,6
494,6
495,0
496,0
497,6
498,0
499,6
5,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,6
59,0
6,6
60,0
61,0
62,0
63,6
64,0
65,0
66,0
67,0
68,6
69,0
7,0
70,0
71,0
72,6
73,0
74,6
75,6
76,0
77,0
78,6
79,0
8,0
80,0
81,6
82,0
83,0
84,0
85,0
86,0
87,6
88,0
89,0
9,0
90,0
91,0
92,6
93,0
94,0
95,0
96,6
97,6
98,0
99,0
